高校名,学校独自URL,生徒数,国公立合格者数,合格率
江戸川女子高等学校,https://www.edojo.jp/,7,-,-
東邦音楽大学附属東邦高等学校,http://www.toho-music.ac.jp/highschool/,-,-,-
潤徳女子高等学校,https://www.juntoku.ac.jp/,1,-,-
武蔵野高等学校,https://www.musashino.ac.jp/mjhs/,-,-,-
広尾学園小石川高等学校,https://hiroo-koishikawa.ed.jp/,-,-,-
足立学園高等学校,https://www.adachigakuen-jh.ed.jp/,-,-,-
サレジアン国際学園高等学校,https://www.salesian.international.seibi.ac.jp,-,-,-
目黒学院高等学校,http://www.meguro.ac.jp/,-,-,-
日本大学第一高等学校,https://www.nichidai-1.ed.jp/,2025,-,-
攻玉社高等学校,https://kogyokusha.ed.jp/,-,-,-
東洋女子高等学校,http://www.toyojoshi.ac.jp/,-,-,-
専修大学附属高等学校,http://www.senshu-u-h.ed.jp/,-,-,-
日本学園高等学校,https://www.nihongakuen.ed.jp/,-,-,-
宝仙学園高等学校・女子部,https://www.hosen.ed.jp/ghs/,-,-,-
文化学園大学杉並高等学校,https://www.bunsugi.jp,-,-,-
田園調布学園高等部,https://www.chofu.ed.jp/,-,-,-
東亜学園高等学校,https://toagakuen.ac.jp/,-,-,-
鴎友学園女子高等学校,https://www.ohyu.jp/,-,-,-
佼成学園高等学校,https://www.kosei.ac.jp/boys/,-,-,-
サレジアン国際学園世田谷高等学校,https://salesian-setagaya.ed.jp/,-,-,-
聖ドミニコ学園高等学校,https://www.dominic.ed.jp/highschool/,-,-,-
立教女学院高等学校,https://hs.rikkyojogakuin.ac.jp/,1,-,-
昭和女子大学附属昭和高等学校,https://jhs.swu.ac.jp/,-,-,-
世田谷学園高等学校,http://www.setagayagakuen.ac.jp/,-,-,-
田園調布雙葉高等学校,https://www.denenchofufutaba.ed.jp/,-,-,-
恵泉女学園高等学校,https://www.keisen.jp/,-,-,-
日本体育大学荏原高等学校,http://www.nittai-ebara.jp/,1,-,-
堀越高等学校,https://www.horikoshigakuen.ed.jp/,-,-,-
明治大学付属中野高等学校,https://www.meinaka.jp/,-,-,-
駒場東邦高等学校,https://www.komabajh.toho-u.ac.jp/,-,-,-
実践学園高等学校,http://www.jissengakuen-h.ed.jp/,-,-,-
国士舘高等学校,http://hs.kokushikan.ed.jp/,-,-,-
日本大学第三高等学校,https://www.nichidai3.ed.jp/,-,-,-
東京都市大学付属高等学校,https://www.tcu-jsh.ed.jp/,-,-,-
成城学園高等学校,https://www.seijogakuen.ed.jp/chukou/,-,-,-
和光高等学校,https://wakos.wako.ed.jp/,-,-,-
東京都市大学等々力高等学校,http://www.tcu-todoroki.ed.jp,-,-,-
東京立正高等学校,http://www.tokyorissho.ed.jp/,-,-,-
日本工業大学駒場高等学校,https://nit-komaba.ed.jp/,-,-,-
大妻中野高等学校,https://www.otsumanakano.ac.jp/,-,-,-
駒澤大学高等学校,http://www.komazawa.net/,-,-,-
中央大学附属高等学校,https://www.hs.chuo-u.ac.jp/,2025,-,-
武蔵高等学校中学校,https://www.musashi.ed.jp/,-,-,-
明治学院東村山高等学校,https://www.meijigakuin-higashi.ed.jp/,-,-,-
大成高等学校,http://www.taisei.ed.jp,-,-,-
城西大学附属城西高等学校,https://josaigakuen.ac.jp/,-,-,-
白梅学園高等学校,https://highwww.shiraume.ac.jp/,-,-,-
昭和鉄道高等学校,https://showa-tetsudo.ed.jp/,-,-,-
藤村女子高等学校,https://fujimura.ac.jp/,-,-,-
帝京高等学校,https://www.teikyo.ed.jp/,-,-,-
東海大学菅生高等学校,https://www.tokaisugao.ac.jp,-,-,-
日本大学豊山女子高等学校,https://www.buzan-joshi.hs.nihon-u.ac.jp/senior/,-,-,-
東京女子学院高等学校,https://www.tjg.ac.jp/,3,-,-
淑徳巣鴨高等学校,https://www.shukusu.ed.jp,-,-,-
十文字高等学校,https://js.jumonji-u.ac.jp/,-,-,-
明法高等学校,http://www.meiho.ed.jp/,-,-,-
吉祥女子高等学校,https://www.kichijo-joshi.jp,-,-,-
豊島学院高等学校,https://toshima-gakuin.ed.jp/,-,-,-
明星高等学校,https://www.meisei.ac.jp/hs/,-,-,-
東京音楽大学付属高等学校,https://www.tcm-koko.ed.jp/,-,-,-
昭和第一学園高等学校,https://www.sdg.ed.jp/,-,-,-
工学院大学附属高等学校,https://www.js.kogakuin.ac.jp/,-,-,-
本郷高等学校,https://www.hongo.ed.jp/,6,-,-
八王子実践高等学校,http://www.hachioji-jissen.ac.jp/,-,-,-
富士見高等学校,https://www.fujimi.ac.jp/,-,-,-
